Latitude,Longitude,Weight
31.8469,-81.5959,7
31.88,-81.6075,2
31.8974,-98.6037,1
31.9383,-81.3034,2
31.9494,35.9329,3
31.9518,-97.3214,1
31.9576,-110.9557,1
31.9615,34.807,1
31.9638,-95.2705,4
31.9874,-90.357,2
31.9973,-102.0779,22
32.004,-106.6058,1
32.011,-97.13,2
32.0603,118.7969,6
32.0662,34.7778,13
32.0724,-84.2327,1
32.0835,-81.0998,60
32.0869,-82.1179,1
32.0954,-96.4689,2
32.1144,-81.154,1
32.1246,-96.9453,4
32.136,-81.6221,1
32.1412,-111.0284,7
32.15,74.1833,1
32.1532,-94.7994,2
32.1574,-94.3374,1
32.1977,-83.1777,1
